Name,Type,Group,!Active,Instruction,Rating,RatingCount,text
Magic Shoes,Team-Building,Small (8-15 ppl),Physically Challenging,Identify two ‘safe’ areas on the ground approx 10 metres apart.Direct your group to stand in one of the two safe areas.Your group’s goal is to move every person to the other safe area without touching the hazardous pit in between.To assist the group in their task they will be given an imaginary pair of ‘magic shoes’ which when worn allow the wearer to cross the pit.The magic shoes can only be worn by each person once and then only in one direction.Allow ample planning time and then permit the group to make their first attempts to cross the pit.Impose a time limit or allow as many attempts as necessary to complete the task.,0.0,0,magic magic shoes shoes team team building building small small 8 8 15 15 ppl ppl physically physically challenging challenging
Moonball,Team-Building,Medium (15-30 ppl),Active,"Gather your group.Group’s goal is to keep the beachball aloft for as long as possible by hitting it.Success is measured by counting the number of hits used to keep the ball aloft.Announce an initial target of say 34 for the group to attain.To govern fair play and to record a valid score:
– An individual cannot hit the beachball twice in succession;
– A point is scored each time someone hits it with their open palm; and
– As soon as the ball touches the ground the count goes back to zero.Your group may have as many attempts as you have allotted time for this task.Once your group achieves your target ask them to set a new more challenging target.",0.0,0,moonball moonball team team building building medium medium 15 15 30 30 ppl ppl active active
Psychic Handshake,Ice-Breakers,Large (30+ ppl),Active,Assuming you need four groups ask everyone to think of a number 1 2 3 or 4 (adapt as necessary.)Invite each person to mingle and shake hands with as many people as possible.Each person should only shake their own hand (and arm) the number of times of the number they are thinking and then firmly stop shaking.When two people shake hands the same number of times they belong in the same group.No talking extending fingers or clapping is allowed but laughter is permitted.Invite people to continue interacting with others until every one discovers their group and the required number of groups has been formed.,0.0,0,psychic psychic handshake handshake ice ice breakers breakers large large 30 30 ppl ppl active active
The Elusive Shadow,Fun Games,Mini (3–8 ppl),High Energy,Gather your group outside on a bright sunny day.Announce the goal for each person is to tag the head of their own shadow with their own physical hand.Say “GO” and watch what happens.,0.0,0,elusive elusive shadow shadow fun fun games games mini mini 3 3 8 8 ppl ppl high high energy energy
Kram Dralloc,Ice-Breakers,Mini (3–8 ppl),Passive,Gather your group as one large group or divide into smaller groups for greater intimacy.One by one ask each person to say their name out loud to the others as if the letters of their name were arranged in reverse.Demonstrate by sharing your own name first eg Mark Collard becomes Kram Dralloc.Next ask the group to speculate where in the world would a person with that name live if it were real.Continue around the group until everyone has shared.,0.0,0,kram kram dralloc dralloc ice ice breakers breakers mini mini 3 3 8 8 ppl ppl passive passive
Celebrity Heads,Fun Games,Medium (15-30 ppl),Passive,In advance download a set of Print+Play celebrity names from the Resources tab (or order Game Kit below.)Gather your group and ask four volunteers to sit in chairs facing everyone else.Attach one name label to each person’s forehead ensuring the individual concerned does not see what is written on the label.Each volunteer’s objective is to identify the celebrity’s name written on their label by asking the audience as few ‘Yes/No’ questions as possible.Each participant may ask the audience one ‘Yes’ or ‘No’ question at a time.The participants continue to ask questions until they have correctly identified the celebrity.The first participant to correctly identify the name of their celebrity wins.Continue until everyone has guessed their identity.,0.0,0,celebrity celebrity heads heads fun fun games games medium medium 15 15 30 30 ppl ppl passive passive
Must Choose,Ice-Breakers,Medium (15-30 ppl),Passive,Form pairs.Pose a question in which each person must choose between two distinct (often opposing) options eg do you prefer Coke or Pepsi?Each person considers their choice and shares this decision with their partner.Next each person predicts the preference of the majority of people in their group and shares this prediction with their partner.When ready ask everyone to stand to one side of a space (or the other) according to their personal choice to determine the majority preference of the group.Each person who accurately predicts the group’s (majority) preference earns a point.Repeat this process asking as many questions as you have time or energy to explore.,0.0,0,must must choose choose ice ice breakers breakers medium medium 15 15 30 30 ppl ppl passive passive
This or That,Ice-Breakers,Medium (15-30 ppl),Passive,Form pairs.Pose a question in which each person must choose between two difficult hypothetical propositions eg would you prefer to be poor in a job you love or rich in a job you hate?Each person considers their choice and shares this decision with their partner.Next each person predicts the preference of the majority of people in their group and shares this prediction with their partner.When ready ask everyone to stand to one side of a space (or the other) according to their personal choice to determine the majority preference of the group.Each person who accurately predicts the group’s (majority) preference earns a point.Repeat this process asking as many questions as you have time or energy to explore.,0.0,0,ice ice breakers breakers medium medium 15 15 30 30 ppl ppl passive passive
"I Trust You, But…",Trust Exercises,Small (8-15 ppl),Active,Ask a volunteer to move at least 25 metres away from the rest of the group.Rest of your group forms a line of ‘spotters’ facing the volunteer side-by-side about arm’s length apart.Upon issuing a series of agreed ‘Are-you-ready?’ commands ask the volunteer to close their eyes place their hands in front of their face and run at three-quarter pace directly towards the line of spotters.Runner should aim to maintain a constant pace and only stop when the spotters make contact with their hands.Spotters aim to stop the runner from passing through their line by meeting the runner’s hands with their own.Repeat with several volunteers.,0.0,0,trust trust trust trust exercises exercises small small 8 8 15 15 ppl ppl active active
The Rock,Trust Exercises,Small (8-15 ppl),Passive,Form a circle standing and facing into the centre.Everyone closes their eyes and clenches both of their hands behind their backs.If someone is willing to receive the ‘rock’ they should open one of their hands in a receiving position.Walk around the group and secretly deposit a small stone into one person’s open hand.Next everyone brings their clenched hands in front of them opens their eyes and quietly and comfortably sits down with their hands visible to all.Everyone starts observing others in the group silently with the aim to identify the person who is holding the ‘rock.’After 20 seconds of silent observation invite one or more people to raise their hands and nominate who they think is holding the rock.Each person gets one chance to make a nomination.If the guess is correct the game is over. Otherwise the guesser is eliminated from the group and will depart the circle.At the conclusion of each round pause for a brief reflection to review successful nominations.Play as many rounds as your group has interest.,0.0,0,rock rock trust trust exercises exercises small small 8 8 15 15 ppl ppl passive passive
The Wave,Energisers,Small (8-15 ppl),High Energy,Form a circle sitting on chairs positioned close to each other facing into the centre.One person leaves their seat and stands in the centre of the circle creating an empty seat.Immediately one of the two people either side of the vacant seat chooses to slide into it thereby creating a new vacant seat.The process of sliding into vacant seats continues in the same direction like a ‘wave’ around the circle.During this time the person without a seat attempts to sit in any one of the suddenly vacant seats.When an empty seat is filled one of the two people currently sitting next to it will leave their seat to repeat the process.Play until the energy dissipates.,0.0,0,wave wave energisers energisers small small 8 8 15 15 ppl ppl high high energy energy
Tin Can Pass,Team-Building,Small (8-15 ppl),Active,Form a circle preferably with your group sitting on the floor.Introduce an A-10 tin can and challenge your group to pass it around the circle using only their feet with as few falls as possible.Explain that a ‘fall’ is considered any time the can touches anything other than a shoe or foot.Repeat the task several times with ample time for discussion between attempts until the group achieves its goal.Introduce one or more challenging variations including the passing of two tin cans passed in opposing directions etc.,0.0,0,tin tin pass pass team team building building small small 8 8 15 15 ppl ppl active active
The Story Game,Fun Games,Medium (15-30 ppl),Passive,Gather your group together.Explain that one person will aim to retell a story that the rest of the group has created without their input.To start ask one person to leave the room to a space where they cannot hear what is being discussed by the rest of the group.Upon the volunteer’s absence ask your group to nominate two ‘things’ – one ending with a vowel and the other ending with a consonant eg kangaroo and train.This is the story: when the volunteer asks a question if the last word ends with a consonant the group must answer “YES” and if it ends with a vowel the group must answer “NO.”Invite the storyteller to return to the group and inform them that the story involves the two ‘things’ nominated by the group.The storyteller may only ask questions that can be answered with a “YES” or “NO” response.The storyteller starts by asking their first question to re-create the story.Encourage the story-teller to keep the story moving to create a beginning middle and an end to the story.Allow the storytelling to continue for 10 to 15 minutes.At a point when the story appears to have reached a conclusion lead your group into rapturous applause.Finally reveal the true story was based on the last letter of each of the storyteller’s questions.,0.0,0,story story game game fun fun games games medium medium 15 15 30 30 ppl ppl passive passive
TP Shuffle On A Rope,Team-Building,Small (8-15 ppl),Active,Lay a long rope in a straight line on the ground/floor.Ask your group to stand directly on the rope with both feet.Challenge your group to re-arrange their positions on the rope according to a particular sequence eg date of birth (not including the year.)All movements must be made with at least one foot always touching the rope.Also no other part of a person’s body (eg hands) is permitted to touch the floor.Apply an appropriate penalty if a rule is infringed.Challenge the group to complete the task with as few penalties as possible.,0.0,0,tp tp shuffle shuffle rope rope team team building building small small 8 8 15 15 ppl ppl active active
Human Machines,Team-Building,Medium (15-30 ppl),Active,Form small groups of 4 to 10 people.Each group will have four minutes to create a machine which you will announce shortly using only their bodies.Each machine must have moving parts and will be demonstrated as a working model to the rest of the group.Instruct each group to actively and productively involve every member of their team in the working model of the machine.Announce the first machine eg dishwasher.Allow 2 to 5 minutes of planning time.When ready invite each small group to demonstrate their machine.Play several rounds announcing a new more complex machine with each round.,0.0,0,human human machines machines team team building building medium medium 15 15 30 30 ppl ppl active active
Human Knot,Team-Building,Small (8-15 ppl),Active,Form a tight circle with everyone facing into the centre.Instruct each person to extend one of their arms in front of themselves and then grab the hand of another person opposite them in the circle.Repeat this process with the other arm grabbing the hand of a different person.When ready group members aim to untangle themselves without ever letting go of their partner’s hands.Continue to free as many people from the tangle until one or more circles are produced or until the group agrees it cannot proceed any further.,0.0,0,human human knot knot team team building building small small 8 8 15 15 ppl ppl active active
Top Monkey,Fun Games,Large (30+ ppl),Active,"Ask your group to stand evenly-spaced apart facing you.Explain that you are ‘Top Monkey.’Everyone aims to become Top Monkey but unless they imitate the correct animal gesture as demonstrated by Top Monkey they shall be eliminated.By way of demonstration decide on three unique animal gestures such as:
– Raccoon – make circles with thumb and pointer fingers on both hands and peer through them;
– Crocodile – extend both arms out in front palms facing and slap together several times; and
– Giraffe – both arms extended above your head hands clasped and bent forward.With each animal demonstrate the gesture and ask your group to imitate you.When you call “TOP MONKEY” everyone must remain motionless otherwise they are eliminated.When you call “NOT A MONKEY” everyone must quickly assume one of the three animal gestures.Those who match the animal demonstrated by Top Monkey remain in the game all others are eliminated.To begin make a series of calls to allow your group to practice this basic routine (actual eliminations are not necessary.)Finally announce that all further rounds will require everyone to have their backs to Top Monkey (you.)Same rules apply: everyone must remain motionless on the call of “TOP MONKEY” and on the command “NOT A MONKEY” everyone will turn to face Top Monkey as they commit to one of the three animal gestures. Those who match the same animal as Top Monkey remain in the game.Continue until one person remains the winner.Invite the winner to become the new Top Monkey.Play several fast rounds.",0.0,0,top top monkey monkey fun fun games games large large 30 30 ppl ppl active active
Tumblewing Glider,Fun Games,Small (8-15 ppl),Passive,Download and print the Tumblewing Glider template from the Resources tab.Cut out the template and fold along the lines of the leading edges and winglets.By way of demonstration fold the winglets (outer edges) up at 90°.And bend the leading edge (front) down slightly and the trailing edge (back) up.Hold your glider by one of the leading edges (the pointing-up one) so that it sits slightly in front of your hand.In your other hand hold the cardboard so that its upper edge is positioned directly underneath and a little behind the glider. Maintain an 80° angle at all times.Gently release the glider from your fingertips and watch as it begins to tumble (top edge turns towards you.)Immediately place both hands on the cardboard and attempt to keep the top edge of the board just behind the glider at all times as you walk forward.Encourage lots of trial and error in an attempt to achieve continuous flight.,0.0,0,tumblewing tumblewing glider glider fun fun games games small small 8 8 15 15 ppl ppl passive passive
Hug Tag,Tag & PE Games,Medium (15-30 ppl),High Energy,Spread your group evenly throughout a designated area.Nominate a volunteer to be the initial tagger ie they will soon start chasing others.In an effort to avoid being tagged an individual may choose to run very fast or engage in a mutual hug with another person.Two people may only embrace in a hug for three seconds after which they must separate and return to the game.The ‘tagger’ is not entitled to hover over hugging pairs.When a tag is made the roles reverse and the new ‘tagger’ resumes the chase.Continue play for several minutes or until your group’s energy starts to wane.,0.0,0,hug hug tag tag tag tag pe pe games games medium medium 15 15 30 30 ppl ppl high high energy energy
Vowel Orchestra,Energisers,Large (30+ ppl),Passive,Assemble your group.Ask everyone to think of the first vowel of their first name.When ready invite everyone to make the sound of this vowel loudly and constantly as they mingle with others.Mingling continues until every person who is singing the same type of sound find each other.A maximum of five different groups may form.,0.0,0,vowel vowel orchestra orchestra energisers energisers large large 30 30 ppl ppl passive passive
Veggie Veggie,Fun Games,Small (8-15 ppl),Passive,Form a circle including yourself.Each person thinks of a vegetable and shares it with the rest of the group (to ensure there are no duplicates.)Once started all talking must occur with one’s lips curled over their teeth (so no teeth can be seen.)When ready one person will call out the name of their vegetable twice and then follow it up with the name of someone else’s vegetable twice eg “PUMPKIN-PUMPKIN TOMATO-TOMATO.”The person who chose the second-named vegetable must quickly respond by saying the name of their vegetable twice and then follow immediately with the name of another person’s vegetable and so on.This process continues randomly among members of your group.Your group aims to maintain an accurate and steady beat for as long as possible.When an individual shows their teeth or takes too long to respond when it’s their turn to talk the action stops.Once the laughter subsides the neighbour to the left of the person who made the ‘mistake’ will start a new round.Continue play for several minutes.,0.0,0,veggie veggie veggie veggie fun fun games games small small 8 8 15 15 ppl ppl passive passive
Finger Fencing,Tag & PE Games,Pairs (2 people),High Energy,Form pairs.Each person grasps the right hand of their partner in a special handshake whereby each of their thumbs rests on top of their partner’s hand.Each person extends and points their index finger towards their partner creating a ‘foil.’On the call of “ON GUARD” each person aims to be the first to tag their partner somewhere below their waist.Play several rounds or swap partners.,0.0,0,finger finger fencing fencing tag tag pe pe games games pairs pairs 2 2 people people high high energy energy
Charade Line,Fun Games,Large (30+ ppl),Passive,Optional: Visit the Resources tab to download a set of sample story lines to inspire your group’s initial creativity.Gather your group facing a ‘performance area.’Ask five volunteers to form a straight line facing side-on to the group standing about a metre apart from each other.Tap the closest volunteer on the shoulder inviting them to turn around and face you.Proceed to mime a 20 to 30-second story that features lots of action intricate movements use of imaginary props etc.As the ‘storyteller’ you cannot speak or use any verbal communication whatsoever.Other than the audience only the first person you tapped will have witnessed your story.Once your story is complete the first volunteer taps the shoulder of the next person in line and proceeds to re-tell the story as best as they can remember it.This process of re-telling the story continues all the way down the line until the fifth and final person witnesses the story.The storyteller may only mime their story once.For fun ask each person starting from the very last person to explain what they saw happening in the story.Conclude by performing the original story again mostly for the benefit of your group of volunteers.,0.0,0,charade charade line line fun fun games games large large 30 30 ppl ppl passive passive
Hula-Hoop Debrief,Reflection,Small (8-15 ppl),Passive,In advance wrap a piece of coloured-tape on one section of a hula-hoop.Standing in a circle ask your group to hold one or both hands on the hoop.Explain that you would like the group to rotate the hoop in one continuous direction.Each time the coloured-tape passes through an individual’s hands they are invited to quickly share their response to a question you pose.Allow the hoop to pass around the circle one or more times.Ask more questions repeating the process or move on.,0.0,0,hula hula hoop hoop debrief debrief reflection reflection small small 8 8 15 15 ppl ppl passive passive
Elbow Tag,Tag & PE Games,Medium (15-30 ppl),High Energy,Forms pairs.Link arms/elbows with partner and place outside hands on hips.Position pairs randomly throughout the playing space not too close to other pairs.Nominate one pair to uncouple and assume the role of ‘cat’ and ‘mouse.’The ‘cat’ will chase the ‘mouse’ around the stationary pairs attempting to tag them.If a tag is made roles immediately reverse.During the chase the ‘mouse’ is permitted to link arms with any other person to escape the ‘cat.’Linking with a person will cause their partner to be unlinked and released into the chase as the new ‘mouse.’Introduce more cats and mice into the action as appropriate.,0.0,0,elbow elbow tag tag tag tag pe pe games games medium medium 15 15 30 30 ppl ppl high high energy energy
Bust A Move,Fun Games,Pairs (2 people),Active,Designate a clear open space.Give each person two toy (wooden/plastic) blocks.Ask everyone to find a partner.Suspend the four blocks between the tips of each of their index fingers.Invite each pair to play and creatively explore different ways of moving together while remaining connected through the blocks.Introduce movement ideas and stunts as needed.,0.0,0,bust bust move move fun fun games games pairs pairs 2 2 people people active active
Toe To Toe,Energisers,Pairs (2 people),Active,Form pairs.Ask a volunteer to step forward and place the toe of their right shoe directly in front of yours.Then as if standing on a straight line place each of your left shoes directly behind the heel of your right shoes.With each of your right toes touching and using your right hands engage in a hand-shake.Aim of this exercise is to bring your partner off-balance.All movements must be in ‘slow-motion’ ie no sudden jerky movements.Play several rounds and swap partners.,0.0,0,toe toe toe toe energisers energisers pairs pairs 2 2 people people active active
Don’t Touch Me,Team-Building,Small (8-15 ppl),Active,Collect a bunch of poly spots (gym-spots) one for every person in your group.Lay two parallel lines of spots on the ground about 6 metres (20′) apart with the spots on each line spaced about a metre (3′) apart.Place a hula-hoop exactly in the centre of the two lines of spots.Form two even teams and ask the members of each team to stand directly on a spot.Working together the members of each team aim to switch sides after passing through the hula-hoop as fast as possible.To record an official attempt there can be no physical contact between any team members at any time.Allow at least three official attempts to record the fastest time.,0.0,0,touch touch team team building building small small 8 8 15 15 ppl ppl active active
Wink Murder,Fun Games,Large (30+ ppl),Active,"Use a random method to secretly appoint an ‘assassin.’The assassin’s weapon of choice is a wink of their eye.The assassin’s ultimate goal is to eliminate everyone in the group as quickly as possible by winking discretely at each person.The rest of the group aims to catch the assassin doing their dirty work.Over the course of several minutes everyone mingles and greets one another as they pass with a smile and a look in the eye as often as possible.When an individual catches a wink from the assassin they must wait at least five seconds (as they continue to mingle) before dying a histrionic death and removing themselves from the action.The assassin is not obliged to wink at everyone they greet.If someone suspects who the assassin is they may raise their hand and shout “I ACCUSE.” At this point everyone stops mingling and waits for a second person to raise their hand as a seconder. If a second accuser does not appear the game continues.If an accuser attracts the interest of a seconder on your count of “1 2 3” each accuser must point directly to who they believe to be the assassin. This will cause one of three results:
– If they point at different people regardless if one of them is correct they are both eliminated.
– If they both point at the wrong person they are both eliminated.
– If they both point at the (correct) assassin the game will end.No one is permitted to communicate or otherwise indicate to others who they believe may be the assassin.Play continues until either everyone is eliminated or two people make a successful accusation.Play several rounds randomly appointing a new assassin with each round.",0.0,0,wink wink murder murder fun fun games games large large 30 30 ppl ppl active active
Don’t Break The Ice,Tag & PE Games,Pairs (2 people),Active,Designate a clear open space.Give each person two toy (wooden/plastic) blocks.Ask everyone to find a partner and to suspend the four blocks between the tips of each of their index fingers.Each pair must maintain their connection while moving about the area and using their free index fingers attempt to break the connections of other pairs.At any time if a pair’s blocks fall or get knocked down they are permitted to pick up their blocks re-connect and continue playing.Play several two-minute rounds and/or swap partners.,0.0,0,break break ice ice tag tag pe pe games games pairs pairs 2 2 people people active active
Hip Tag,Energisers,Pairs (2 people),Active,Form pairs.Standing side by side with their partner hold hands.When ready each person aims to touch the back of their partner’s hand against their own hip as many times as possible.Stop the activity after 10 to 15 seconds has elapsed.If useful survey individual scores and invite your group to reflect on the range of results.,0.0,0,hip hip tag tag energisers energisers pairs pairs 2 2 people people active active
Clap Trap,Fun Games,Pairs (2 people),Active,Break your group into pairs.Ask for a volunteer and invite everyone to gather around you and your partner to demonstrate the basic moves.Introduce small pieces of the full routine one bit at a time – the start the 1-2-3 build-up the 3-2-1 break-down and the re-start sequence.Demonstrate one piece of the routine at a time allowing for all other pairs to practice.Once all of the pieces have been learned attempt the full routine all at once.Allow pairs to practice the routine at their own pace.When appropriate challenge the group to identify two people who can continue the routine in an un-broken pattern – up and down – for as long as possible.,0.0,0,clap clap trap trap fun fun games games pairs pairs 2 2 people people active active
Clothes-Peg Tag,Tag & PE Games,Medium (15-30 ppl),High Energy,Distribute four to eight clothes-pegs to each person in your group.Ask everyone to pin all of their pegs anywhere accessible on their upper torso clothing.On “GO” everyone aims to pin all of their clothes-pegs onto other people one at a time.All other pegs must remain on a person’s clothing while they are trying to attach a peg.When the time expires the person with the least number of pegs on their clothing wins.,0.0,0,clothes clothes peg peg tag tag tag tag pe pe games games medium medium 15 15 30 30 ppl ppl high high energy energy
Coloured Ball Debrief,Reflection,Small (8-15 ppl),Passive,In advance collect a number of different coloured items in a bag.Assemble your group into a circle.Announce that you have a bag with several coloured items inside it.When the bag is passed around the circle ask each person to randomly pull one item out.Each colour represents a different topic of conversation.Describe what each of the different colours mean eg yellow means a highlight.Pass the bag to the first person and invite them to share their thoughts according to the colour of the item they pull out of the bag.Continue passing the bag inviting everyone to share.,0.0,0,coloured coloured ball ball debrief debrief reflection reflection small small 8 8 15 15 ppl ppl passive passive
Dead Ant Tag,Tag & PE Games,Medium (15-30 ppl),High Energy,Randomly place series of hula-hoops within a wide open space naming them ‘ant hospitals.’Spread your group throughout this space and announce that they are all ‘ants.’One person volunteers to be ‘It’ and attempts to tag as many people as possible.When someone is tagged they must drop to the ground with arms and legs wiggling in the air and call out “DEAD ANT DEAD ANT…” until they are saved.Grabbing one limb each four other ants may carry a dead ant to the closest ant hospital.A person assisting a dead ant (by holding a limb) is safe from being tagged.Once inside a hula-hoop a dead ant can get back on their feet and return to the game.Continue play for 1-2 minutes or until the energy starts to fade.,0.0,0,dead dead ant ant tag tag tag tag pe pe games games medium medium 15 15 30 30 ppl ppl high high energy energy
Fire In The Hole,Fun Games,Pairs (2 people),Active,In advance gather at least one well-inflated balloon for every two people in your group.Form into pairs and distribute one balloon to each partnership.By way of demonstration ask a volunteer to stand directly in front of you.Place a well-inflated balloon on your chest.Simultaneously wrap arms around each other in a tight embrace whereby the balloon is held firmly in place between your upper torsos.When ready call ‘FIRE IN THE HOLE’ and simultaneously pull each of your bodies toward the other.Continue squeezing until the balloon finally bursts.Now invite all pairs to do the same with their balloon.Collect the balloon shrapnel after every balloon has been burst.,0.0,0,fire fire hole hole fun fun games games pairs pairs 2 2 people people active active
Dinosaur Game,Energisers,Small (8-15 ppl),Active,Form a circle and hold hands including yourself.By way of demonstration begin by passing a wave ie up and down movement of your arm which will cause your neighbour’s arm to also move.Encourage this ‘wave’ motion to be passed all the way around the circle and then pass it in the opposite direction.Next the wave can be passed in any direction by any person when the wave reaches them (practice this for a few moments.)Finally any time the wave is passed the person initiating the wave must voice a ridiculous dinosaur noise without showing their teeth.The goal is to make the person receiving the wave to laugh and show their teeth.At any time if the sender or receiver of the wave and dinosaur sound show their teeth they are eliminated from the circle and assume the role of a ‘distracter.’Distractors are entitled to do whatever they can to distract others and possibly make them laugh without touching or obscuring the view of anyone in the circle.Play until all but one person has been eliminated.,0.0,0,dinosaur dinosaur game game energisers energisers small small 8 8 15 15 ppl ppl active active
Chicken Baseball,Energisers,Small (8-15 ppl),High Energy,Split your group into two even teams.The goal for each team is to score as many runs as possible.Nominate one team to start as the batting team and the other as the fielding team.To start one person from the batting team will toss the rubber chicken anywhere in the designated playing space.The fielding team will quickly retrieve the chicken form a straight line and pass the bird over the first person’s head and then under the second person’s legs and so on down the line.When the last fielding team member grabs the chicken he/she yells “STOP.”Meanwhile the batting team members huddle closely together while one of their group runs around their team as many times as possible.Every full rotation the runner makes around their team before the fielding team yells “STOP” earns the batting team one point.The fielding team then tosses the chicken to another spot and the batting and fielding roles reverse.The game is over after five innings 15 minutes or when your group is exhausted.,0.0,0,chicken chicken baseball baseball energisers energisers small small 8 8 15 15 ppl ppl high high energy energy
Body English,Team-Building,Medium (15-30 ppl),Active,In advance visit the Resources tab to download a set of Print+Play message ideas.Create an even number of smaller groups of approx 5 to 10 people.Pair each small group to another and ask one team (of each pair) to move about 50 metres away from the other.Each ‘sending’ pair aims to communicate a unique message to the ‘receiving’ pair using their bodies to form the shape of letters of the alphabet.The message will instruct the receiving pair to do something eg ‘stand on one leg while singing a song.’No verbal communication is permitted between groups at any time.Teams are challenged to communicate the message and then perform the action as accurately and as quickly as possible.Repeat this task multiple times and/or try a variation.,0.0,0,body body english english team team building building medium medium 15 15 30 30 ppl ppl active active
Walk Tag,Tag & PE Games,Medium (15-30 ppl),High Energy,Form pairs.Designate an area of approx 5m x 5m in which to play.Instruct everyone to enter and play only in this space.For each pair identify who will be the first tagger.Everyone places their hands in the Bumpers Up position.On “GO” all taggers must spin 720 degrees on the spot before they can chase their partner.All movement must be made by walking no running permitted.Instruct everyone to avoid contact with any other person during the course of the chase.Once a tag is made the partners switch roles and the new tagger will spin around twice on the spot.Play several rounds or until the energy of your group starts to wane.,0.0,0,walk walk tag tag tag tag pe pe games games medium medium 15 15 30 30 ppl ppl high high energy energy
Wampum,Tag & PE Games,Small (8-15 ppl),Active,Form a circle sitting on the ground or in chairs.Ask people to extend their legs in front of them.Place yourself in the centre of the circle holding a boffer (or other long soft tagging instrument.)One person starts by calling the name of a person sitting in the circle.The named-person must call the name of another person before their feet are tagged by (you) the person in the centre.If a new name is called quickly the process continues with this newly-named person calling the name of another person sitting in the circle etc.If one of the feet of the named-person is tagged before they manage to call out a new name they are invited to swap roles with the person in the centre.To resume play the person returning to the circle must call a new name before their bottom hits the floor/seat otherwise they are entitled to be tagged and have to return to the centre again.Continue play for five to ten minutes.,0.0,0,wampum wampum tag tag pe pe games games small small 8 8 15 15 ppl ppl active active
Woodcutters Warm-Up,Energisers,Pairs (2 people),High Energy,Find a partner.Facing each other each person holds the hands of their partner in a monkey-grip position ie fingers curled inside the palm of partner.Place one foot forward towards the other to establish a balanced stance.Starting slowly ask each person to begin to push their arms in and out pumping back and forth alternately to their partner.Gradually build up the pace and momentum until the pair cannot move their co-joined arms any faster.Once out of breath stop and let go.,0.0,0,woodcutters woodcutters warm warm energisers energisers pairs pairs 2 2 people people high high energy energy
Double Dice Game,Fun Games,Mini (3–8 ppl),Passive,Divide your group into smaller groups of 3 to 5 people and ask them to sit in a circle.Distribute one index card (or paper) to every person and one pen and a pair of dice to each group.Announce that the winner of this game will be the first person to write all of the numbers from 1 to 100 on their index card.To start one person shall throw the dice.If the dice show two different numbers the dice are passed to the next person on the left.Whenever a person throws a ‘double’ they must first shout out “DOUBLE.”This person will then be entitled to grab the pen and immediately start writing the numbers 1 2 3 4… etc on their index card.The person with the pen may keep writing until the next person in turn throws a ‘double.’A person resumes writing from the last number they wrote on their card.Game continues until the first person writes the number 100.,0.0,0,double double dice dice game game fun fun games games mini mini 3 3 8 8 ppl ppl passive passive
Wordles,Team Puzzles,Small (8-15 ppl),Passive,Prepare a set of ‘Wordle’ cards in advance.Gather your group and place the stack of Wordles in front of them face down.Turning over one card at a time ask your group to decipher the hidden meaning in each puzzle.Give clues and prompts as necessary to assist your group to solve the puzzles.With each correct answer turn over the next card.Continue until all cards have been deciphered or the energy of your group starts to wane.,0.0,0,wordles wordles team team puzzles puzzles small small 8 8 15 15 ppl ppl passive passive
Windmill Stretch,Energisers,Pairs (2 people),Physically Challenging,Find a partner of similar height and stand back to back.Each person extends their arms out to their sides crossing arms slightly applying pressure against their partner’s palms.With arms co-joined start with a gentle rocking motion up and down up and down.Once warmed-up each pair brings one set of their arms over the tops of their heads so that each person’s elbows pass in front of their noses.Continue to apply pressure to co-joined hands as the arms continue in the same direction to eventually fold over to the other side of the body.If both partners are comfortable direct these arms down towards the ground and then poke the other arms up over and through the gap created by the contorted arms.Next reverse the moves untangle the arms and repeat the process on the other side.Building pace very slowly go back and forth several times over 20 to 30 seconds.,0.0,0,windmill windmill stretch stretch energisers energisers pairs pairs 2 2 people people physically physically challenging challenging
Yurt Circle,Energisers,Medium (15-30 ppl),Active,Form a perfect circle facing into the centre.Everyone firmly grasps the hands of their neighbours.Step back slowly to stretch the circle outwards so that people’s arms are almost parallel to the ground.With feet placed together and securely planted on the ground ask your group to slowly lean backwards.Instruct people to adjust the position of their feet so that when they lean backwards they feel fully supported.Aim to maintain this self-supported stance for as long as possible before regaining one’s balance.Repeat several times or try a variation.,0.0,0,yurt yurt circle circle energisers energisers medium medium 15 15 30 30 ppl ppl active active
Follow The Leader,Energisers,Medium (15-30 ppl),Active,Form a circle.One person volunteers to be the first ‘observer’ and then closes their eyes.Meanwhile the rest of your group silently points to one other person in the circle to become the ‘leader.’While the observer has their eyes closed instruct the leader to start making a series of random movements.The rest of the group will imitate these movements as soon and as often as they occur.Now ask the observer to open their eyes and move into the centre of the circle.The observer’s goal is to identify who is initiating the series of moves (leader) in less than five guesses.Encourage the ‘leader’ to frequently change their movements.Continue play for several rounds allowing different people to assume the leader and observer roles.,0.0,0,follow follow leader leader energisers energisers medium medium 15 15 30 30 ppl ppl active active
Zip Zap,Fun Games,Medium (15-30 ppl),Active,Form a circle facing into the centre with you standing in the middle.To start use both arms and hands pressed together in front of you to randomly point to one person in the circle.As you point say “ZIP” which will prompt this person to immediately crouch to the ground.The two neighbours of this person will immediately turn to face one another and quickly place the back of their own wrist on their forehead with fingers pointing to the other person as quickly as possible.If the pointed-at person and their neighbours respond quickly and accurately they each survive to play another round.However if one of these three people are too slow or make an error they are invited to swap roles with you to become the new person in the centre.Play a couple of ‘test’ rounds to help your group understand what’s expected before play begins.After a few minutes introduce one or more new people into the middle of the circle.,0.0,0,zip zip zap zap fun fun games games medium medium 15 15 30 30 ppl ppl active active
